term, [docid,position]
techniqu,9,10,
require,9,7,
complex,9,4,
large,9,3,
refer,9,2,
function,8,8,
structure,8,7,
brain,8,6,
natural,3,0,
computer,3,4,4,0,
neural,2,7,8,0,
sets,9,6,
human,1,8,3,7,8,5,
understand,3,5,4,5,
requir,1,7,
find,7,5,
task,1,6,
multiple,2,9,
inspir,8,4,
type,2,2,
system,1,4,
process,3,2,9,9,
subset,0,2,
allow,3,3,
focus,0,5,
deep,2,0,
bas,2,5,
environment,5,9,
pattern,7,6,
algorithm,0,7,6,2,
learn,0,1,0,8,2,1,2,4,5,1,5,4,6,1,6,3,7,1,
artificial,0,3,1,0,2,6,
big,9,0,
intelligence,0,4,1,1,1,9,
advanc,9,8,
data,0,9,6,6,6,10,7,4,9,1,9,5,
involv,1,2,
perform,1,5,
language,3,1,3,8,
within,7,8,
generate,3,6,
interpret,4,4,
visual,4,6,
make,6,7,
layer,2,10,
prediction,6,8,
network,2,8,8,1,
enabl,4,2,
world,4,7,
supervis,6,0,
unsupervis,7,0,
creat,1,3,
area,5,2,
concern,5,5,
machin,4,3,
unlabel,7,3,
machine,0,0,2,3,5,3,
agent,5,6,
take,5,7,
action,5,8,
label,6,4,
train,6,5,
develop,0,6,
vision,4,1,
new,6,9,
computational,8,2,
deal,7,2,
structur,7,7,
reinforcement,5,0,
model,8,3,
